Heap Size,Name,Observability,Concurrent Users,Message Size (Bytes),Sleep Time (ms),# Samples,Error Count,Error %,Average (ms),Min (ms),Max (ms),90th Percentile (ms),95th Percentile (ms),99th Percentile (ms),Throughput,Received (KB/sec),Sent (KB/sec),Ballerina GC Throughput (%),Ballerina Footprint (M),Ballerina Average of Footprint After Full GC (M),Ballerina Standard Deviation of Footprint After Full GC (M),Netty Service GC Throughput (%),Netty Service Footprint (M),Netty Service Average of Footprint After Full GC (M),Netty Service Standard Deviation of Footprint After Full GC (M),JMeter Client GC Throughput (%),JMeter Client Footprint (M),JMeter Client Average of Footprint After Full GC (M),JMeter Client Standard Deviation of Footprint After Full GC (M),JMeter Server 01 GC Throughput (%),JMeter Server 01 Footprint (M),JMeter Server 01 Average of Footprint After Full GC (M),JMeter Server 01 Standard Deviation of Footprint After Full GC (M),JMeter Server 02 GC Throughput (%),JMeter Server 02 Footprint (M),JMeter Server 02 Average of Footprint After Full GC (M),JMeter Server 02 Standard Deviation of Footprint After Full GC (M),Ballerina Load Average - Last 1 minute,Ballerina Load Average - Last 5 minutes,Ballerina Load Average - Last 15 minutes,Netty Service Load Average - Last 1 minute,Netty Service Load Average - Last 5 minutes,Netty Service Load Average - Last 15 minutes,JMeter Client Load Average - Last 1 minute,JMeter Client Load Average - Last 5 minutes,JMeter Client Load Average - Last 15 minutes,JMeter Server 01 Load Average - Last 1 minute,JMeter Server 01 Load Average - Last 5 minutes,JMeter Server 01 Load Average - Last 15 minutes,JMeter Server 02 Load Average - Last 1 minute,JMeter Server 02 Load Average - Last 5 minutes,JMeter Server 02 Load Average - Last 15 minutes
1G,passthrough.bal,default,100,50,0,14828857,0,0,5.981981551,0,298,12,19,39,16475.73891,2976.573924,3781.053363,99.51,1022.5,,,99.97,4064.5,,,99.79,2048,,,99.22,4096,12.55,,99.15,4096,13.65,,9.26,9.35,6.98,0.26,0.27,0.2,0.21,0.19,0.1,2.4,2.4,1.83,2.34,2.32,1.74
1G,passthrough.bal,default,100,50,30,2878726,0,0,31.19080871,30,271,32,32,32,3198.403202,577.8365159,734.0085472,99.91,1023,,,99.98,3925.5,,,99.83,2048,,,99.81,4096,13.45,,99.8,4096,14.6,,1.72,1.65,2.02,0,0,0,0,0.01,0.14,0.86,0.43,0.43,0.18,0.23,0.38
1G,passthrough.bal,default,100,50,500,179399,0,0,501.5584089,500,709,502,502,504,199.2522999,35.99772996,45.72684617,99.99,1016,,,0,3925.5,,,99.06,2048,,,99.97,4096,11.05,,99.96,4096,11.2,,0.09,0.11,0.55,0,0,0,0,0,0.05,0,0,0.07,0.05,0.04,0.1
1G,passthrough.bal,default,100,50,1000,89842,0,0,1001.527827,1000,1209,1002,1002,1003,99.74531316,18.02039349,22.89077011,99.99,1003.5,,,0,3925.5,,,98.21,2048,,,99.98,4096,9773.5,,99.98,4096,9787,,0.05,0.05,0.16,0,0,0,0,0,0,0.05,0.01,0,0,0,0
1G,passthrough.bal,default,100,1024,0,14654739,0,0,6.047857557,0,270,13,19,32.99,16282.75386,18461.20829,19256.26458,99.57,1022.5,,,99.97,4088,,,99.81,2048,,,99.24,4096,9666,,99.13,4096,14.1,,9.27,8.69,6.31,0.16,0.13,0.08,0.12,0.16,0.1,2.28,2.94,2.06,2.88,3.39,2.45
1G,passthrough.bal,default,100,1024,30,2872876,0,0,31.25165827,30,267,32,32,33,3191.992231,3619.045906,3774.904875,99.91,1023,,,99.98,3925.5,,,99.79,2048,,,99.83,4096,9361,,99.82,4096,9860,,0.98,1.25,1.68,0,0,0,0.08,0.04,0.17,0.16,0.24,0.4,0.05,0.19,0.45
1G,passthrough.bal,default,100,1024,500,179379,0,0,501.6097648,500,709,502,502,503,199.2227847,225.8766143,235.6042893,99.99,1016.5,,,0,3925.5,,,99.04,2048,,,99.96,4096,11.4,,99.96,4096,11.65,,0.08,0.11,0.42,0,0,0,0,0,0.06,0,0.01,0.09,0,0,0.08
1G,passthrough.bal,default,100,1024,1000,89842,0,0,1001.65761,1000,4350,1002,1002,1003,99.7152009,113.0560041,117.9249104,99.99,1003.5,,,0,3925.5,,,96.38,2048,,,99.98,4096,10185,,99.98,4096,10070,,0.04,0.03,0.11,0,0,0,0,0,0,0,0.01,0.01,0.33,0.11,0.05
1G,passthrough.bal,default,100,10240,0,6586348,0,0,13.58271913,1,496,16,17,36,7319.010197,74356.56351,74533.8265,99.78,1023,,,99.97,4095,,,99.84,2048,,,99.62,4096,11.7,,99.59,4096,12.1,,4.24,4.7,3.64,0.12,0.1,0.08,0.03,0.04,0.01,0.62,0.77,0.56,0.98,0.82,0.59
1G,passthrough.bal,default,100,10240,30,2850502,0,0,31.48342432,30,254,32,32,34,3167.460244,32178.84268,32256.12835,99.91,1023,,,99.97,4064.5,,,99.83,2048,,,99.82,4096,11.2,,99.82,4096,11.1,,1.38,1.47,1.77,0.14,0.19,0.16,0.04,0.04,0.09,0.22,0.25,0.27,0.07,0.16,0.27
1G,passthrough.bal,default,100,10240,500,179259,0,0,501.865725,501,552,502,503,504,199.1045466,2022.741743,2027.599816,99.99,1016.5,,,99.99,3925.5,,,98.93,2048,,,99.96,4096,12,,99.96,4096,12,,0.1,0.05,0.44,0,0,0.01,0,0,0.04,0,0,0.05,0.14,0.05,0.06
1G,passthrough.bal,default,100,10240,1000,89807,0,0,1001.886813,1001,1210,1002,1003,1003,99.69450124,1012.815756,1015.2483,99.99,1003.5,,,99.99,3925.5,,,98.2,2048,,,99.98,4096,9761,,99.98,4096,9738.5,,0.01,0.02,0.1,0,0,0,0.06,0.02,0,0,0,0,0,0,0
1G,passthrough.bal,default,100,102400,0,674918,0,0,133.1727543,11,3806,297,357,549,749.7506082,75200.2403,75113.44252,99.96,1023,,,99.96,4094,,,99.7,2048,,,99.92,4096,9472,,99.92,4096,9158,,1.06,0.85,0.62,0.13,0.16,0.12,0.03,0.02,0,0.1,0.15,0.11,0.07,0.13,0.09
1G,passthrough.bal,default,100,102400,30,674847,0,0,133.195182,36,3643,195,341,425.99,749.6417566,75186.56917,75102.53728,99.96,1023,,,99.96,4094,,,99.69,2048,,,99.92,4096,9026,,99.92,4096,9140.5,,0.73,0.79,0.73,0.18,0.21,0.13,0,0,0,0.13,0.13,0.1,0.09,0.13,0.09
1G,passthrough.bal,default,100,102400,500,178857,0,0,502.9019384,501,725,504,504,506,198.6867304,19919.55554,19905.34472,99.99,1020.5,,,99.97,3955,,,99,2048,,,99.97,4096,9335.5,,99.96,4096,9434.5,,0.26,0.22,0.33,0.01,0.02,0.02,0,0,0,0.03,0.07,0.08,0.07,0.06,0.07
1G,passthrough.bal,default,100,102400,1000,89751,0,0,1002.68387,1001,1208,1003,1004,1004,99.62581073,9988.111439,9980.96904,99.99,1009.5,,,99.98,3925.5,,,98.6,2048,,,99.97,4096,9521,,99.97,4096,9517.5,,0.01,0.06,0.12,0,0,0,0,0,0,0.05,0.04,0.02,0,0.02,0.03
1G,passthrough.bal,default,200,50,0,15236322,0,0,11.70634816,0,501,24,34,66,16928.40025,3058.35356,3884.935603,99.29,1022,,,99.96,4068.5,,,99.81,2048,,,99.19,4096,9795,,99.1,4096,12.35,,9.45,9.56,7.1,0.54,0.64,0.47,0.16,0.13,0.09,3.01,3.56,2.68,3.37,4.36,3.39
1G,passthrough.bal,default,200,50,30,5730612,0,0,31.33768627,30,419,32,32,34,6366.936353,1150.276587,1461.162151,99.75,1022,,,99.97,3925.5,,,99.83,2048,,,99.65,4096,15.25,,99.63,4096,15,,3.45,2.87,2.95,0.03,0.05,0.07,0.1,0.07,0.19,0.42,0.37,0.57,0.45,0.53,0.81
1G,passthrough.bal,default,200,50,500,358739,0,0,501.5729514,500,708,502,503,505,398.4669521,71.98865833,91.44505247,99.98,1021.5,,,99.98,3925.5,,,99.19,2048,,,99.95,4096,10.835,,99.96,4096,10132,,0.08,0.17,0.69,0.07,0.02,0,0,0,0.08,0.21,0.07,0.12,0.48,0.17,0.19
1G,passthrough.bal,default,200,50,1000,179660,0,0,1001.585645,1000,1209,1002,1002,1003,199.4695172,36.03697333,45.77669585,99.98,1015,,,0,3925.5,,,98.85,2048,,,99.96,4096,11.95,,99.96,4096,12,,0,0.03,0.21,0,0,0,0,0,0,0,0.01,0.04,0.02,0.02,0.05
1G,passthrough.bal,default,200,1024,0,15277172,0,0,11.66698601,0,856,23,30,52,16974.42809,19245.42099,20074.25041,99.24,1022,,,99.96,4090,,,99.81,2048,,,99.15,4096,13.95,,99.09,4096,15.05,,8.77,8.73,6.6,0.74,0.51,0.34,0.21,0.17,0.1,4.31,4.22,3.29,4.28,4.44,3.24
1G,passthrough.bal,default,200,1024,30,5717978,0,0,31.40354475,30,271,32,32,35,6352.779491,7202.711903,7512.906214,99.76,1022,,,99.97,3985,,,99.86,2048,,,99.67,4096,11.6,,99.63,4096,14.8,,3.02,2.83,2.77,0.02,0.01,0,0.18,0.1,0.21,0.53,0.41,0.69,0.44,0.53,0.74
1G,passthrough.bal,default,200,1024,500,358800,0,0,501.6044732,500,709,502,502,504,398.4842494,451.7970836,471.2543223,99.98,1021.5,,,99.99,3925.5,,,99.31,2048,,,99.96,4096,10.398,,99.95,4096,11.3,,0.04,0.14,0.63,0,0,0,0.01,0.01,0.09,0.01,0.04,0.15,0.01,0.04,0.15
1G,passthrough.bal,default,200,1024,1000,179682,0,0,1001.644372,1000,1209,1002,1002,1003,199.4385857,226.1212872,235.8594993,99.98,1015,,,99.99,3925.5,,,98.96,2048,,,99.95,4096,12.65,,99.95,4096,12.7,,0.15,0.09,0.21,0,0,0,0,0,0,0.22,0.13,0.1,0,0,0.04
1G,passthrough.bal,default,200,10240,0,6585683,0,0,27.24350519,1,3680,42,54,290,7316.319978,74333.04119,74506.4304,99.6,1022,,,99.95,4095,,,99.86,2048,,,99.61,4096,10.246,,99.58,4096,10.414,,5.17,5.19,3.86,0.35,0.4,0.32,0.1,0.1,0.06,0.67,0.7,0.57,0.73,0.73,0.56
1G,passthrough.bal,default,200,10240,30,5632061,0,0,31.86667154,30,417,32,33,37,6257.636968,63572.56306,63725.23271,99.75,1022,,,99.95,4094,,,99.86,2048,,,99.67,4096,10.163,,99.64,4096,12,,4.13,3.77,3.4,0.59,0.62,0.49,0.02,0.06,0.13,0.61,0.64,0.57,0.85,0.85,0.68
1G,passthrough.bal,default,200,10240,500,358597,0,0,501.8587272,501,710,502,503,504,398.2990511,4046.397446,4056.115728,99.97,1021.5,,,99.97,3925.5,,,99.43,2048,,,99.96,4096,10.135,,99.95,4096,10.41,,0.58,0.36,0.84,0,0,0.06,0,0,0.08,0,0.01,0.09,0.22,0.08,0.15
1G,passthrough.bal,default,200,10240,1000,179599,0,0,1001.904131,1001,1223,1003,1003,1004,199.4332334,2026.081006,2030.947029,99.98,1016,,,99.98,3925.5,,,98.96,2048,,,99.96,4096,11.85,,99.95,4096,11.8,,0,0.06,0.26,0,0,0,0,0,0,0.05,0.05,0.03,0,0,0.04
1G,passthrough.bal,default,200,102400,0,673586,0,0,266.9825026,19,15723,484.9,652,1064.99,747.4273363,74967.59319,74880.68652,99.94,1022,,,99.95,4094,,,99.67,2048,,,99.91,4096,9578.5,,99.91,4096,9245.5,,0.79,0.82,0.66,0.37,0.29,0.16,0,0,0,0.34,0.24,0.14,0.07,0.15,0.11
1G,passthrough.bal,default,200,102400,30,673734,0,0,266.9222304,46,15545,469,598.95,964.97,748.0862971,75033.56567,74946.70423,99.94,1022,,,99.95,4094,,,99.54,2048,,,99.91,4096,9467.5,,99.91,4096,9167.5,,0.75,0.78,0.78,0.19,0.14,0.14,0.01,0,0,0.36,0.22,0.18,0.18,0.19,0.13
1G,passthrough.bal,default,200,102400,500,357507,0,0,503.208877,501,728,504,505,507,397.1607175,39818.03019,39789.37583,99.97,1022,,,99.96,4063,,,99.38,2048,,,99.94,4096,9674.5,,99.94,4096,9667.5,,0.18,0.38,0.5,0.14,0.08,0.08,0,0,0,0.12,0.11,0.12,0.13,0.11,0.09
1G,passthrough.bal,default,200,102400,1000,179376,0,0,1002.914888,1001,1226,1004,1004,1006,199.1836155,19969.35363,19955.12493,99.98,1019.5,,,99.97,3950.5,,,99.04,2048,,,99.96,4096,9643,,99.96,4096,9362.5,,0.53,0.29,0.33,0.05,0.05,0.02,0,0,0,0.01,0.05,0.07,0.16,0.11,0.09
1G,passthrough.bal,default,300,50,0,15261210,0,0,17.57751417,0,363,32,43,74,16955.84497,3063.311835,3891.233953,99.03,1020.5,,,99.96,4072,,,99.82,2048,,,99.14,4096,12.9,,99.1,4096,13.3,,7.28,8.33,6.51,0.83,0.7,0.47,0.23,0.15,0.1,5.52,4.58,3.44,3.55,3.56,2.75
1G,passthrough.bal,default,300,50,30,8462707,0,0,31.82440583,30,528,33,34,45,9402.1198,1698.625159,2157.71304,99.53,1021,,,99.96,3981.5,,,99.85,2048,,,99.5,4096,14.95,,99.51,4096,9468,,4.22,4.41,4.09,0.09,0.06,0.08,0.05,0.07,0.21,0.72,0.71,0.92,0.98,0.89,0.91
1G,passthrough.bal,default,300,50,500,538038,0,0,501.5689728,500,710,502,503,504,597.7522547,107.9923507,137.1794725,99.96,1021,,,99.98,3925.5,,,99.47,2048,,,99.94,4096,11.95,,99.93,4096,12.85,,0.23,0.27,0.87,0,0,0,0,0,0.12,0,0.03,0.18,0.04,0.06,0.2
1G,passthrough.bal,default,300,50,1000,269475,0,0,1001.576235,1000,1208,1002,1002,1004,299.1680248,54.04891073,68.65672444,99.98,1019,,,99.98,3925.5,,,99.19,2048,,,99.96,4096,10.806,,99.96,4096,11.1,,0.01,0.06,0.25,0,0,0,0,0,0.02,0.24,0.1,0.09,0,0.01,0.05
1G,passthrough.bal,default,300,1024,0,15240641,0,0,17.58931957,0,319,31,40,63,16932.93551,19198.37713,20025.18057,99.03,1021,,,99.95,4090,,,99.81,2048,,,99.12,4096,14.95,,99.1,4096,11.65,,9.96,9.04,6.58,0.32,0.73,0.55,0.15,0.13,0.09,3.37,4.62,3.89,8.24,5.51,3.67
1G,passthrough.bal,default,300,1024,30,8419000,0,0,31.98419979,30,321,34,35,46,9355.140883,10606.75646,11063.5504,99.53,1021,,,99.96,4041.5,,,99.85,2048,,,99.5,4096,12.9,,99.5,4096,9986.5,,4.04,4.39,4.14,0.01,0.11,0.13,0.04,0.09,0.22,0.93,0.96,1.17,1.44,1.21,1.26
1G,passthrough.bal,default,300,1024,500,537961,0,0,501.5936955,500,710,502,502,504,597.674013,677.6362588,706.8195602,99.96,1021,,,99.98,3925.5,,,99.48,2048,,,99.92,4096,13.9,,99.92,4096,14.45,,0.09,0.26,0.89,0.21,0.18,0.07,0,0,0.11,0.01,0.04,0.21,0.07,0.08,0.24
1G,passthrough.bal,default,300,1024,1000,269428,0,0,1001.612976,1000,1208,1002,1003,1004,299.1550359,339.1787337,353.7858872,99.98,1019,,,99.99,3925.5,,,99.27,2048,,,99.96,4096,10224,,99.95,4096,11.85,,0,0.08,0.28,0,0,0,0,0,0.01,0,0,0.04,0.04,0.05,0.08
1G,passthrough.bal,default,300,10240,0,6578921,0,0,40.932236,1,3734,66,88,310,7309.73354,74266.04304,74439.35679,99.51,1021,,,99.95,4095,,,99.86,2048,,,99.58,4096,11.45,,99.57,4096,11.6,,5.68,5.4,4.12,0.53,0.51,0.36,0.09,0.08,0.07,0.45,0.66,0.54,1.03,0.94,0.67
1G,passthrough.bal,default,300,10240,30,6585932,0,0,40.90279143,31,307,43,44,50,7318.247025,74347.69179,74526.05467,99.57,1021,,,99.94,4094.5,,,99.86,2048,,,99.58,4096,11.85,,99.57,4096,10.046,,5.1,4.96,4.38,0.83,0.81,0.62,0.07,0.04,0.11,1.12,0.96,0.72,0.71,0.76,0.65
1G,passthrough.bal,default,300,10240,500,537871,0,0,501.838729,500,725,503,503,506,597.4552079,6069.663856,6084.241121,99.96,1021,,,99.97,3925.5,,,99.5,2048,,,99.94,4096,11.35,,99.95,4096,11.2,,0.57,0.41,1.06,0,0.02,0.1,0,0,0.09,0.03,0.04,0.15,0.29,0.19,0.21
1G,passthrough.bal,default,300,10240,1000,269368,0,0,1001.895002,1001,1210,1002,1003,1004,299.1073461,3038.689677,3045.9877,99.98,1019.5,,,99.98,3925.5,,,99.13,2048,,,99.96,4096,10.506,,99.95,4096,10.608,,0.2,0.19,0.39,0,0,0,0,0,0,0.1,0.09,0.09,0.01,0.08,0.11
1G,passthrough.bal,default,300,102400,0,671936,0,0,401.3290671,16,29852,736,973.95,1891.97,744.8121443,74704.29751,74618.68464,99.92,1020.5,,,99.95,4094,,,99.7,2048,,,99.9,4096,9659.5,,99.89,4096,9600.5,,1.3,1.05,0.82,0.39,0.23,0.13,0,0,0,0.18,0.19,0.13,0.14,0.17,0.17
1G,passthrough.bal,default,300,102400,30,672262,2,0.0002975031,401.3042504,47,30031,727,955.95,1811.97,745.100821,74733.24174,74647.38351,99.91,1020.5,22.347,,99.94,4094,,,99.72,2048,,,99.9,4096,9161.5,,99.89,4096,9390.5,,1.16,0.98,0.89,0.32,0.27,0.2,0,0,0,0.12,0.17,0.17,0.04,0.12,0.14
1G,passthrough.bal,default,300,102400,500,536652,0,0,502.8887081,501,839,503,504,505,596.0621062,59758.94453,59716.22599,99.95,1021,,,99.95,4088,,,99.51,2048,,,99.92,4096,9445.5,,99.92,4096,9584.5,,0.61,0.72,0.73,0.12,0.17,0.17,0,0,0,0.18,0.21,0.19,0.24,0.22,0.16
1G,passthrough.bal,default,300,102400,1000,269065,0,0,1002.82583,1001,1213,1004,1004,1007,298.7665809,29953.17805,29931.80153,99.97,1021,,,99.96,4032,,,99.25,2048,,,99.95,4096,9317,,99.95,4096,9345,,0.06,0.19,0.32,0.09,0.05,0.07,0,0,0,0.08,0.09,0.11,0.02,0.05,0.06
1G,passthrough.bal,default,1000,50,0,13709624,0,0,65.44942859,0,974,101,119,161,15237.23277,2752.820374,3496.82588,97.23,1015,,,99.93,4062,,,99.83,2048,,,99.14,4096,13.85,,99.1,4096,13.75,,8.19,8.88,6.9,0.88,2.94,2.21,0.03,0.06,0.08,7.25,8.66,7.01,8.01,9.06,6.37
1G,passthrough.bal,default,1000,50,30,13918251,0,0,64.51162635,31,415,93,112,168,15463.00522,2793.609342,3548.638894,97.46,1016.5,,,99.91,4066,,,99.82,2048,,,99.16,4096,11,,99.07,4096,16.45,,8.55,8.54,7.23,1.85,1.97,1.78,0.25,0.21,0.27,6.46,4.89,4.27,5.02,4.57,4.12
1G,passthrough.bal,default,1000,50,500,1792993,0,0,501.6796083,500,713,502,503,516,1991.72094,359.8323964,457.0843955,99.73,1015,,,99.96,3925.5,,,99.75,2048,,,99.87,4096,11.2,,99.87,4096,9530,,0.44,0.72,1.44,0,0.01,0.22,0.03,0.05,0.21,0.05,0.11,0.6,0.08,0.17,0.6
1G,passthrough.bal,default,1000,50,1000,898323,0,0,1001.559668,1000,1213,1002,1003,1009,997.3343666,180.1824783,228.8804455,99.86,1015,,,99.96,3925.5,,,99.67,2048,,,99.92,4096,10073,,99.91,4096,11.8,,0.12,0.29,0.55,0,0,0.04,0,0.02,0.07,0.06,0.07,0.17,0,0.05,0.16
1G,passthrough.bal,default,1000,1024,0,14444484,0,0,62.14859472,0,395,99,122,157.99,16050.0865,18197.41253,18981.10816,97.14,1015,,,99.91,4088.5,,,99.82,2048,,,99.11,4096,11.15,,99.03,4096,15.8,,9.58,9.64,7.22,3.96,3.9,2.56,0.16,0.14,0.14,7.41,8.31,6.27,8.54,9.91,7.06
1G,passthrough.bal,default,1000,1024,30,14314771,0,0,62.6989066,30,414,89,104,129,15910.62233,18039.28968,18816.17543,97.46,1016.5,,,99.89,4086,,,99.82,2048,,,99.12,4096,11.9,,99.07,4096,10.403,,7.89,8.08,6.87,1.47,2.26,2.19,0.07,0.13,0.26,10.49,10.32,7.93,8.44,9.25,8.05
1G,passthrough.bal,default,1000,1024,500,1792701,0,0,501.6560726,500,714,502,503,511,1991.912132,2258.408215,2355.669524,99.73,1015,,,99.96,3925.5,,,99.75,2048,,,99.84,4096,15.25,,99.84,4096,15.35,,0.8,0.83,1.49,0.01,0.08,0.31,0.04,0.06,0.22,0.26,0.4,1.35,0.56,0.32,1.21
1G,passthrough.bal,default,1000,1024,1000,897741,0,0,1001.649081,1000,1499,1003,1006,1041,996.8022065,1130.163439,1178.835422,99.86,1015,,,99.96,3925.5,,,99.64,2048,,,99.89,4096,15.25,,99.92,4096,10.639,,0.74,0.62,0.77,0,0.02,0.08,0,0.02,0.08,0.1,0.1,0.36,0.47,0.23,0.38
1G,passthrough.bal,default,1000,10240,0,6526543,144,0.0022063748,137.6451068,1,59709,336,633.85,1658.99,7189.928988,73050.70177,73217.70041,98.53,1016,39.882,,99.88,4093.5,,,99.86,2048,,,99.5,4096,11.9,,99.49,4096,11.1,,5.4,5.73,4.44,0.45,0.52,0.41,0.1,0.05,0.05,0.42,0.66,0.65,0.28,0.6,0.64
1G,passthrough.bal,default,1000,10240,30,6531182,7,0.0001071781,137.6586511,32,35772,335,429.95,1027,7222.713479,73383.3474,73553.10101,98.54,1015.5,,,99.87,4094.5,,,99.83,2048,,,99.49,4096,11.7,,99.49,4096,10.114,,6.14,5.75,5.12,1.62,1.3,0.95,0.05,0.08,0.15,0.73,0.87,0.78,1.44,0.97,0.72
1G,passthrough.bal,default,1000,10240,500,1791943,0,0,501.9202709,500,1183,503,504,512,1990.76907,20224.60598,20273.18346,99.71,1015,,,99.94,4004,,,99.74,2048,,,99.85,4096,9665.5,,99.83,4096,11.4,,0.66,0.86,1.59,0.2,0.18,0.27,0.15,0.08,0.14,0.23,0.26,0.28,0.16,0.25,0.31
1G,passthrough.bal,default,1000,10240,1000,898045,0,0,1001.828964,1001,1225,1002,1003,1009,996.97149,10128.42739,10152.75263,99.85,1015,,,99.95,3925.5,,,99.62,2048,,,99.91,4096,10.545,,99.9,4096,10.763,,0.57,0.56,0.73,0.05,0.05,0.08,0,0,0.05,0.12,0.12,0.12,0.13,0.17,0.18
1G,passthrough.bal,default,1000,102400,0,666490,2113,0.317034014,1346.624749,10,89604,2597.8,4616.8,17930.44,725.7970547,72569.28834,72483.35721,99.74,1015,37.244,,99.85,4091,,,99.64,2048,,,99.81,4096,10011,,99.8,4096,10046.5,,0.92,0.91,0.76,1.31,0.65,0.35,0,0,0,0.15,0.18,0.16,0.23,0.26,0.2
