Heap Size,Name,Observability,Concurrent Users,Message Size (Bytes),Sleep Time (ms),# Samples,Error Count,Error %,Average (ms),Min (ms),Max (ms),90th Percentile (ms),95th Percentile (ms),99th Percentile (ms),Throughput,Received (KB/sec),Sent (KB/sec),Ballerina GC Throughput (%),Ballerina Footprint (M),Ballerina Average of Footprint After Full GC (M),Ballerina Standard Deviation of Footprint After Full GC (M),Netty Service GC Throughput (%),Netty Service Footprint (M),Netty Service Average of Footprint After Full GC (M),Netty Service Standard Deviation of Footprint After Full GC (M),JMeter Client GC Throughput (%),JMeter Client Footprint (M),JMeter Client Average of Footprint After Full GC (M),JMeter Client Standard Deviation of Footprint After Full GC (M),JMeter Server 01 GC Throughput (%),JMeter Server 01 Footprint (M),JMeter Server 01 Average of Footprint After Full GC (M),JMeter Server 01 Standard Deviation of Footprint After Full GC (M),JMeter Server 02 GC Throughput (%),JMeter Server 02 Footprint (M),JMeter Server 02 Average of Footprint After Full GC (M),JMeter Server 02 Standard Deviation of Footprint After Full GC (M),Ballerina Load Average - Last 1 minute,Ballerina Load Average - Last 5 minutes,Ballerina Load Average - Last 15 minutes,Netty Service Load Average - Last 1 minute,Netty Service Load Average - Last 5 minutes,Netty Service Load Average - Last 15 minutes,JMeter Client Load Average - Last 1 minute,JMeter Client Load Average - Last 5 minutes,JMeter Client Load Average - Last 15 minutes,JMeter Server 01 Load Average - Last 1 minute,JMeter Server 01 Load Average - Last 5 minutes,JMeter Server 01 Load Average - Last 15 minutes,JMeter Server 02 Load Average - Last 1 minute,JMeter Server 02 Load Average - Last 5 minutes,JMeter Server 02 Load Average - Last 15 minutes
1G,passthrough.bal,default,1000,102400,30,666547,2001,0.3002038866,1346.729618,37,87866,2594.4,4587.85,16126.04,720.7542028,72077.21454,71992.65253,99.75,1015,37.331,,99.85,4090.5,,,99.63,2048,,,99.81,4096,10086,,99.79,4096,9998,,0.55,0.79,0.83,0.15,0.27,0.3,0.02,0.01,0,0.11,0.19,0.18,0.11,0.11,0.12
1G,passthrough.bal,default,1000,102400,500,666343,376,0.0564273955,1348.925189,533,65867,2125.8,2932.95,7740.91,730.6640906,73242.93476,73159.96239,99.75,1014.5,36.979,,99.86,4089.5,,,99.51,2048,,,99.82,4096,9456,,99.82,4096,9468.5,,0.87,0.93,0.88,0.33,0.37,0.31,0,0,0,0.09,0.17,0.17,0.13,0.2,0.17
1G,passthrough.bal,default,1000,102400,1000,670765,1,0.0001490835,1340.855678,1014,30285,1654,1881,2650.99,743.8695211,74606.53244,74524.13723,99.8,1014.5,,,99.87,4090.5,,,99.48,2048,,,99.83,4096,9709,,99.82,4096,9483,,0.58,0.77,0.78,0.22,0.28,0.27,0,0.01,0,0.15,0.2,0.18,0.14,0.25,0.22
1G,passthrough.bal,default,2000,50,0,12911214,0,0,139.074155,0,815,236,272,331,14346.86138,2591.962261,3292.492601,94.87,1010.5,,,99.88,4060,,,99.82,2048,,,99.07,4096,10194.5,,98.99,4096,15.25,,9.43,9.56,7.39,3.98,4.04,3,0.19,0.13,0.1,11.64,10.07,6.75,10.88,10.69,7.17
1G,passthrough.bal,default,2000,50,30,13006777,0,0,138.1390442,31,660,211,236,290,14455.50801,2611.590803,3317.426155,94.87,1012.5,,,99.86,4059,,,99.8,2048,,,99.03,4096,20.9,,98.97,4096,15.45,,10.34,10.41,8.46,3.08,4.52,4.06,0.07,0.09,0.2,6.95,9,7.42,7.06,9.51,8.09
1G,passthrough.bal,default,2000,50,500,3567700,0,0,504.3241234,500,1023,510,514,531,3961.338174,715.6714475,909.0961631,98.95,1006.5,,,99.91,3925.5,,,99.81,2048,,,99.72,4096,13.05,,99.68,4096,16.8,,1.68,1.86,2.39,0.11,0.27,0.72,0.21,0.09,0.19,0.47,0.33,1.2,1.2,0.8,1.6
1G,passthrough.bal,default,2000,50,1000,1792839,0,0,1003.501903,1000,2014,1010,1014,1028,1989.320175,359.3986644,456.5334386,99.46,1006.5,,,99.93,3925.5,,,99.72,2048,,,99.85,4096,11.25,,99.8,4096,16.8,,0.16,0.57,1.01,0,0.06,0.18,0,0.01,0.09,0.25,0.19,0.38,0.67,0.4,0.59
1G,passthrough.bal,default,2000,1024,0,13376578,0,0,134.0676914,0,569,214,245,279,14865.01161,16853.78758,17579.61823,94.63,1011,,,99.86,4086.5,,,99.82,2048,,,99,4096,13.4,,98.93,4096,16.9,,9.5,9.04,6.74,3.24,4.3,2.92,0.34,0.16,0.12,10.93,10.11,6.88,3.55,7.96,6.74
1G,passthrough.bal,default,2000,1024,30,13708891,0,0,131.075545,31,605,204,228,271,15235.52064,17273.86671,18017.78857,94.64,1012.5,,,99.84,4086,,,99.82,2048,,,98.97,4096,13.05,,98.9,4096,16.45,,8.88,9.38,7.86,3.05,5.35,4.76,0.14,0.16,0.25,3.86,7.28,6.92,9.72,7.96,6.93
1G,passthrough.bal,default,2000,1024,500,3567149,0,0,504.1435665,500,1085,508,513,527,3963.926112,4494.25607,4687.80715,98.94,1006.5,,,99.91,3925.5,,,99.8,2048,,,99.72,4096,11,,99.7,4096,13,,1.37,1.59,2.16,0.41,0.48,0.91,0,0.04,0.19,0.33,0.58,1.3,0.53,0.63,1.33
1G,passthrough.bal,default,2000,1024,1000,1793385,0,0,1003.366733,1000,2001,1007,1012,1023,1988.813799,2254.895359,2352.005382,99.46,1006.5,,,99.92,3925.5,,,99.73,2048,,,99.83,4096,12.1,,99.83,4096,10.95,,2.39,1.33,1.21,0.02,0.05,0.22,0,0,0.08,0.27,0.24,0.44,0.2,0.23,0.41
1G,passthrough.bal,default,2000,10240,0,6463637,1447,0.022386777,277.6756229,1,60007,795,1617.95,7149.83,7047.85483,71597.6284,71756.42286,97.44,1011,74.861,,99.8,4094,,,99.85,2048,,,99.35,4096,13.35,,99.29,4096,11.15,,3.55,5.41,4.58,0.57,0.69,0.57,0.19,0.09,0.09,0.44,0.76,0.68,0.61,1.1,0.97
1G,passthrough.bal,default,2000,10240,30,6463781,901,0.0139392099,278.0075128,31,59695,769,1177.7,7291.82,7024.291353,71361.35728,71522.55845,97.43,1012,64.426,,99.79,4094,,,99.82,2048,,,99.33,4096,12.7,,99.29,4096,11.35,,4.75,5.9,5.33,0.55,1,0.91,0.03,0.04,0.11,0.38,0.82,0.8,0.7,1.06,0.99
1G,passthrough.bal,default,2000,10240,500,3567189,0,0,504.3435733,501,13882,511,517,529.99,3960.867547,40239.21129,40335.866,98.88,1006.5,,,99.86,4080.5,,,99.8,2048,,,99.62,4096,12.25,,99.61,4096,13.1,,2.24,2.09,2.43,0.69,0.39,0.41,0.05,0.08,0.14,0.46,0.54,0.58,0.37,0.54,0.61
1G,passthrough.bal,default,2000,10240,1000,1792540,0,0,1003.309073,1001,2045,1002,1003,1022,1989.51822,20211.89813,20260.44531,99.43,1006.5,,,99.89,4011.5,,,99.73,2048,,,99.79,4096,12.25,,99.79,4096,11.25,,0.44,0.62,1.07,0.36,0.22,0.19,0,0.01,0.07,0.01,0.28,0.36,0.43,0.36,0.36
1G,passthrough.bal,default,2000,102400,0,667687,14989,2.244914159,2680.157139,12,93733,8072.6,17364.15,30030,722.3321494,70858.85461,70798.76258,99.4,1010,94.369,,99.75,4087,,,99.69,2048,,,99.69,4096,10.023,,99.68,4096,9943.5,,0.77,0.95,0.93,0.33,0.38,0.35,0,0.02,0,0.05,0.14,0.16,0.2,0.18,0.18
1G,passthrough.bal,default,2000,102400,30,3133794,3133794,100,572.2966816,0,37352,3048,7184.95,10009,3431.752477,8513.503272,0,99.54,1023.5,18.713,,99.54,1023.5,18.713,,99.83,2048,,,99.31,4096,12.45,,99.27,4096,14.2,,1.27,1.39,1.28,0,0,0.06,0.19,0.07,0.01,0.88,1.4,1.04,0.71,0.94,0.79
1G,passthrough.bal,default,2000,102400,500,664860,9425,1.417591673,2696.654237,514,84082,5782.8,12026.95,30030,719.8196716,71196.1215,71096.65247,99.42,1008.5,93.005,,99.75,4090,,,99.5,2048,,,99.7,4096,10151.5,,99.69,4096,10.4,,0.79,1.14,1.15,0.3,0.32,0.27,0.02,0.01,0.04,0.1,0.16,0.34,0.21,0.21,0.31
1G,passthrough.bal,default,2000,102400,1000,3141075,3141075,100,570.9681857,0,37424,3050,7203,10010,3449.017037,8557.104067,0,99.56,1023.5,18.563,,99.56,1023.5,18.563,,99.82,2048,,,99.29,4096,16.15,,99.27,4096,11.1,,0.91,1.29,1.32,0,0,0.04,0.04,0.05,0.06,1.24,1.55,1.15,1.12,1.19,0.98
1G,https_passthrough.bal,default,100,50,0,12191814,0,0,7.288438292,0,282,16,20,31,13547.92016,2474.083077,3109.141835,99.58,1022.5,15.145,,99.97,4045,,,99.82,2048,,,99.35,4096,13.4,,99.27,4096,17.05,,7.58,8,6.35,0.19,0.15,0.1,0.05,0.07,0.08,2.56,2.36,1.8,3.18,3.03,2.16
1G,https_passthrough.bal,default,100,50,30,2872846,0,0,31.24496545,30,270,32,32,33,3192.345516,582.9771597,732.6183558,99.9,1023,16.266,,99.98,3925.5,,,99.85,2048,,,99.82,4096,12.7,,99.8,4096,14.35,,1.16,1.45,1.91,0,0,0,0.07,0.04,0.14,0.2,0.18,0.4,0.3,0.33,0.52
1G,https_passthrough.bal,default,100,50,500,179329,0,0,501.7226885,500,708,502,503,504,199.1909247,36.37568644,45.71276103,99.98,1016,17.066,,0,3925.5,,,99.04,2048,,,99.95,4096,14.55,,99.95,4096,14.45,,0.01,0.09,0.49,0,0,0,0,0,0.06,0.02,0.04,0.08,0,0.01,0.1
1G,https_passthrough.bal,default,100,50,1000,89821,0,0,1001.664355,1000,1210,1002,1003,1003,99.7066114,18.20814095,22.88188836,99.98,1008.5,17.394,,0,3925.5,,,98.3,2048,,,99.97,4096,13.45,,99.96,4096,13.45,,0,0.04,0.15,0,0,0,0,0,0,0.06,0.04,0.01,0.03,0.01,0.02
1G,https_passthrough.bal,default,100,1024,0,10548038,0,0,8.43206547,0,256,17,21,35,11721.09712,13312.14451,13861.57091,99.6,1022.5,15.15,,99.97,4069,,,99.85,2048,,,99.43,4096,11.7,,99.39,4096,12.9,,8.78,8.58,6.38,0.42,0.21,0.08,0.19,0.14,0.04,2.83,2.17,1.51,3.01,2.93,2.07
1G,https_passthrough.bal,default,100,1024,30,2865200,0,0,31.32776176,30,270,32,32,34,3183.838563,3616.019775,3765.262207,99.88,1023,16.28,,99.98,3925.5,,,99.79,2048,,,99.82,4096,12.6,,99.8,4096,13.95,,1.48,1.55,2.07,0,0,0,0,0.04,0.14,0.23,0.26,0.41,0.64,0.42,0.58
1G,https_passthrough.bal,default,100,1024,500,179300,0,0,501.764077,500,709,502,503,504,199.1419017,226.173859,235.5086356,99.98,1016.5,16.965,,0,3925.5,,,98.93,2048,,,99.95,4096,15.05,,99.94,4096,15.3,,0.48,0.31,0.61,0,0,0,0.01,0.01,0.06,0.02,0.02,0.08,0.07,0.02,0.12
1G,https_passthrough.bal,default,100,1024,1000,89824,0,0,1001.749733,1000,1205,1002,1003,1004,99.71293013,113.2481814,117.922225,99.98,1009.5,17.382,,0,3925.5,,,98.74,2048,,,99.96,4096,13.9,,99.96,4096,13.9,,0,0.05,0.2,0,0,0,0,0,0,0.08,0.02,0.01,0,0,0.01
1G,https_passthrough.bal,default,100,10240,0,5261054,0,0,17.00218321,1,269,27,31,42,5845.323289,59395.10925,59526.39772,99.66,1022.5,15.18,,99.97,4093.5,,,99.86,2048,,,99.69,4096,11.5,,99.68,4096,11.1,,8.46,8.37,6.22,0.29,0.39,0.29,0,0.04,0.02,2.22,2.3,1.64,2.12,2.09,1.49
1G,https_passthrough.bal,default,100,10240,30,2793667,0,0,32.12422311,31,284,33,33,35,3104.329689,31543.533,31613.23242,99.83,1023,16.324,,99.97,4064.5,,,99.83,2048,,,99.82,4096,12.25,,99.81,4096,13.05,,3.08,3.2,3.49,0.3,0.26,0.23,0.01,0.02,0.08,0.71,0.61,0.74,0.54,0.52,0.65
1G,https_passthrough.bal,default,100,10240,500,179150,0,0,502.2058219,501,555,503,503,505,198.9715453,2021.777824,2026.245386,99.97,1020.5,16.983,,99.99,3925.5,,,99.1,2048,,,99.95,4096,13.2,,99.95,4096,13.15,,0.15,0.15,0.84,0.01,0,0.02,0,0,0.04,0.04,0.1,0.19,0.01,0.03,0.16
1G,https_passthrough.bal,default,100,10240,1000,89784,0,0,1002.212298,1001,1208,1003,1003,1004,99.66244154,1012.68395,1014.921817,99.98,1014.5,17.488,,99.99,3925.5,,,98.6,2048,,,99.98,4096,10.024,,99.96,4096,13.25,,0.02,0.11,0.29,0,0,0,0,0,0,0,0,0.04,0.15,0.05,0.06
1G,https_passthrough.bal,default,100,102400,0,668022,0,0,134.5327759,11,3762,224,351,478,742.1130863,74416.05197,74348.28068,99.75,1022.5,15.811,,99.96,4094,,,99.58,2048,,,99.9,4096,10.924,,99.9,4096,10.803,,3.5,3.62,2.69,0.23,0.26,0.19,0,0,0,0.91,0.86,0.66,0.65,0.8,0.63
1G,https_passthrough.bal,default,100,102400,30,667877,0,0,134.5256971,39,1963,183,331,410,741.9923943,74401.9063,74336.1892,99.75,1022.5,15.779,,99.96,4094,,,99.7,2048,,,99.9,4096,11.05,,99.89,4096,11.15,,3.66,3.72,3.42,0.39,0.35,0.29,0,0,0,0.85,0.84,0.78,1.14,0.96,0.85
1G,https_passthrough.bal,default,100,102400,500,177863,0,0,505.8533253,503,733,508,508,511,197.5221856,19802.54206,19788.67529,99.93,1022.5,17.023,,99.97,3955,,,98.94,2048,,,99.96,4096,10.789,,99.96,4096,10.806,,0.89,0.79,1.35,0.08,0.05,0.08,0.01,0,0,0.36,0.33,0.4,0.25,0.27,0.4
1G,https_passthrough.bal,default,100,102400,1000,89422,0,0,1005.894377,1003,1225,1008,1009,1010,99.26094321,9951.346303,9944.414945,99.96,1022.5,17.531,,99.98,3925.5,,,98.9,2048,,,99.97,4096,11.05,,99.97,4096,11.05,,0.31,0.29,0.58,0,0,0,0,0,0,0.06,0.13,0.18,0.2,0.15,0.2
1G,https_passthrough.bal,default,200,50,0,12502633,0,0,14.27659294,0,274,27,32,46,13899.21191,2538.234988,3189.760547,99.33,1021.5,16.259,,99.97,4051,,,99.81,2048,,,99.29,4096,17.75,,99.26,4096,18,,8.7,8.39,6.17,0.51,0.49,0.43,0.15,0.08,0.02,3.83,3.74,2.58,2.39,3.38,2.65
1G,https_passthrough.bal,default,200,50,30,5702448,0,0,31.48925041,30,272,32,33,37,6335.433869,1156.959115,1453.932577,99.71,1022,16.424,,99.97,3925.5,,,99.86,2048,,,99.67,4096,13.5,,99.65,4096,15.8,,3.51,3.26,3.19,0,0,0.05,0.07,0.08,0.17,0.59,0.52,0.72,0.41,0.6,0.82
1G,https_passthrough.bal,default,200,50,500,358662,0,0,501.7007879,500,713,502,503,505,398.3849648,72.75194182,91.42623705,99.97,1020.5,17.156,,99.98,3925.5,,,99.32,2048,,,99.96,4096,17.35,,99.96,4096,10.95,,0.02,0.14,0.74,0,0,0,0,0,0.09,0.17,0.11,0.17,0.1,0.09,0.18
1G,https_passthrough.bal,default,200,50,1000,179544,0,0,1001.74599,1000,1213,1002,1003,1004,199.4005013,36.41395874,45.76085724,99.98,1013,17.483,,99.99,3925.5,,,99.09,2048,,,99.97,4096,11.6,,99.97,4096,11.85,,0.02,0.09,0.26,0,0,0,0.02,0.01,0,0.01,0.01,0.06,0,0,0.05
1G,https_passthrough.bal,default,200,1024,0,11078359,0,0,16.12145012,0,269,27,33,45,12317.43097,13989.42604,14566.80557,99.35,1021.5,16.27,,99.96,4072.5,,,99.82,2048,,,99.36,4096,16.85,,99.34,4096,15.45,,8.29,8.14,6.05,0.16,0.29,0.26,0.17,0.14,0.1,2.34,3.42,2.82,1.62,3.4,2.84
1G,https_passthrough.bal,default,200,1024,30,5661483,0,0,31.70687044,30,314,32,33,39.99,6291.053931,7145.015432,7439.908506,99.69,1022,16.373,,99.97,3968.5,,,99.86,2048,,,99.64,4096,18.2,,99.66,4096,13.4,,3.51,3.75,3.64,0.07,0.02,0.02,0.07,0.08,0.17,0.68,0.7,0.95,0.74,0.72,0.95
1G,https_passthrough.bal,default,200,1024,500,358485,0,0,501.6568308,500,713,502,502,504,398.4920031,452.5841794,471.263492,99.96,1020.5,17.104,,99.99,3925.5,,,99.3,2048,,,99.96,4096,12.25,,99.96,4096,12.95,,0.18,0.15,0.76,0,0,0,0,0,0.08,0.1,0.08,0.22,0.01,0.04,0.21
1G,https_passthrough.bal,default,200,1024,1000,179437,0,0,1001.745214,1000,1208,1002,1002,1003,199.4271819,226.4978638,235.8460129,99.98,1015,17.511,,99.99,3925.5,,,98.88,2048,,,99.97,4096,12.2,,99.97,4096,11.3,,0.03,0.06,0.26,0,0,0,0,0,0,0.02,0.02,0.07,0,0.01,0.06
1G,https_passthrough.bal,default,200,10240,0,5298249,0,0,33.85041096,1,278,49,55,70,5886.734027,59815.88815,59948.10785,99.47,1021.5,16.312,,99.96,4093.5,,,99.86,2048,,,99.66,4096,14.05,,99.66,4096,12.6,,8.07,8.13,6.13,0.63,0.56,0.48,0.04,0.04,0,2.87,2.91,2.06,2.19,2.05,1.56
1G,https_passthrough.bal,default,200,10240,30,4564517,0,0,39.29932214,31,273,47,50,57,5074.99558,51567.73201,51681.69327,99.55,1022,16.491,,99.96,4090.5,,,99.85,2048,,,99.71,4096,13.55,,99.7,4096,13.9,,5.83,6.1,5.73,0.88,0.78,0.62,0.08,0.06,0.09,2.07,2.02,1.75,1.69,1.62,1.38
1G,https_passthrough.bal,default,200,10240,500,358150,0,0,502.3451208,501,707,503,504,506,397.8255388,4042.360915,4051.293671,99.95,1021,17.084,,99.97,3925.5,,,99.43,2048,,,99.95,4096,14.15,,99.94,4096,14.05,,0.4,0.4,1.38,0,0.01,0.11,0,0,0.05,0.05,0.12,0.42,0.12,0.09,0.34
1G,https_passthrough.bal,default,200,10240,1000,179444,0,0,1002.249097,1001,1207,1003,1003,1004,199.3175547,2025.293733,2029.769005,99.97,1020,17.576,,99.98,3925.5,,,98.99,2048,,,99.96,4096,13.4,,99.96,4096,13.35,,0.1,0.13,0.45,0,0,0,0,0,0,0.02,0.04,0.11,0,0.02,0.1
1G,https_passthrough.bal,default,200,102400,0,667198,0,0,269.5103672,35,14585,477,610,973,740.8808202,74294.65315,74224.82663,99.59,1021.5,16.569,,99.95,4094,,,99.62,2048,,,99.88,4096,12.1,,99.88,4096,12.2,,4.29,3.94,3.13,0.2,0.28,0.19,0,0,0,0.64,0.9,0.75,0.88,0.95,0.75
1G,https_passthrough.bal,default,200,102400,30,667454,0,0,269.4451483,50,16999,466,554.95,926,741.3058544,74336.80692,74267.4085,99.61,1021.5,16.503,,99.95,4093.5,,,99.71,2048,,,99.88,4096,12.45,,99.87,4096,12.3,,4.31,4.03,3.69,0.3,0.3,0.24,0,0,0,0.73,0.8,0.81,0.78,1.01,0.92
1G,https_passthrough.bal,default,200,102400,500,354826,0,0,506.7492799,503,733,509,510,514,394.2664437,39526.69299,39499.41425,99.84,1022,16.985,,99.96,4063,,,99.4,2048,,,99.93,4096,12,,99.93,4096,12.1,,1.43,1.54,2.02,0.07,0.1,0.12,0,0,0,0.2,0.41,0.54,0.86,0.62,0.69
1G,https_passthrough.bal,default,200,102400,1000,178647,0,0,1006.703745,1003,1231,1009,1010,1014,198.4201647,19892.33407,19878.63894,99.91,1022,17.11,,99.97,3968,,,99.27,2048,,,99.95,4096,12.05,,99.95,4096,12.05,,0.38,0.64,0.98,0.03,0.03,0.04,0,0,0,0.11,0.26,0.33,0.29,0.31,0.37
1G,https_passthrough.bal,default,300,50,0,12610472,0,0,21.29174919,0,292,36,42,69,14011.52658,2558.745576,3215.535884,99.08,1020.5,16.39,,99.96,4049.5,,,99.81,2048,,,99.3,4096,13.6,,99.25,4096,18.6,,8.64,8.06,5.99,0.6,0.64,0.5,0.08,0.12,0.09,6.1,6.09,4.1,5.98,4.76,3.33
1G,https_passthrough.bal,default,300,50,30,8267270,0,0,32.55779102,30,273,35,37,64,9189.796957,1678.214874,2108.986606,99.45,1021,16.472,,99.97,3981.5,,,99.85,2048,,,99.5,4096,18.85,,99.51,4096,13.65,,5.07,5.09,4.55,0.07,0.06,0.09,0.14,0.11,0.18,0.75,1.13,1.44,1.14,1.18,1.27
1G,https_passthrough.bal,default,300,50,500,537526,0,0,501.6930493,500,710,502,503,507,597.4960845,109.1130545,137.1206835,99.94,1020,17.272,,99.98,3925.5,,,99.51,2048,,,99.95,4096,11.25,,99.94,4096,14.2,,0.17,0.23,0.94,0.01,0.02,0,0.08,0.02,0.11,0.06,0.04,0.26,0.03,0.07,0.25
1G,https_passthrough.bal,default,300,50,1000,269371,0,0,1001.711417,1000,1208,1002,1003,1005,299.1319354,54.62663273,68.6484422,99.96,1017,17.95,,99.98,3925.5,,,99.2,2048,,,99.97,4096,11.5,,99.96,4096,12.35,,0.03,0.09,0.28,0.21,0.05,0.02,0,0,0.01,0,0,0.06,0,0.03,0.07
1G,https_passthrough.bal,default,300,1024,0,11052364,0,0,24.2534285,0,394,39,45,56,12289.63533,13957.85733,14533.93396,99.09,1020.5,16.513,,99.96,4072,,,99.83,2048,,,99.35,4096,16.8,,99.34,4096,16,,8.07,8.19,6.11,0.32,0.58,0.41,0.1,0.11,0.09,4.22,4.11,3.21,3.58,4.22,3.35
1G,https_passthrough.bal,default,300,1024,30,7975938,0,0,33.74710084,30,274,37,40,49,8864.714251,10068.02998,10483.56344,99.39,1021,16.498,,99.96,4032.5,,,99.83,2048,,,99.51,4096,18.75,,99.52,4096,15.15,,6.13,5.71,5.05,0.04,0.13,0.16,0.13,0.11,0.19,1.87,1.38,1.45,1.55,1.41,1.55
1G,https_passthrough.bal,default,300,1024,500,537549,0,0,501.7562213,500,710,502,503,507,597.558183,678.6720379,706.6825777,99.94,1020,17.265,,99.98,3925.5,,,99.49,2048,,,99.92,4096,18.4,,99.92,4096,17.8,,0.14,0.32,1.12,0,0,0,0.04,0.02,0.12,0.05,0.04,0.26,0.01,0.04,0.29
1G,https_passthrough.bal,default,300,1024,1000,269340,0,0,1001.793495,1000,1208,1002,1003,1005,299.1456789,339.7523677,353.7748214,99.96,1018.5,17.673,,99.98,3925.5,,,99.18,2048,,,99.97,4096,11.25,,99.96,4096,13.35,,0.24,0.21,0.4,0,0,0,0,0,0.02,0.09,0.07,0.09,0.01,0.04,0.09
1G,https_passthrough.bal,default,300,10240,0,5328114,0,0,50.5399237,1,370,73,82,99,5919.70571,60150.91714,60283.87807,99.27,1020,16.584,,99.95,4093.5,,,99.86,2048,,,99.64,4096,14.15,,99.61,4096,15.85,,7.1,7.92,6.11,0.78,0.71,0.48,0.01,0.04,0.02,4.39,3.3,2.35,2.8,2.89,2.06
1G,https_passthrough.bal,default,300,10240,30,5036206,0,0,53.44708735,31,290,69,75,88,5599.747822,56899.79706,57025.55692,99.35,1020.5,16.58,,99.95,4092.5,,,99.83,2048,,,99.66,4096,14.9,,99.64,4096,15.65,,7.21,7.24,6.45,0.5,0.6,0.57,0.11,0.06,0.09,2.11,2.72,2.43,1.73,2.02,1.94
1G,https_passthrough.bal,default,300,10240,500,537339,0,0,502.2498051,501,708,503,504,509,596.717128,6063.326832,6076.724815,99.92,1020.5,17.474,,99.97,3925.5,,,99.52,2048,,,99.94,4096,13.55,,99.94,4096,14.3,,0.31,0.39,1.59,0,0,0.1,0,0,0.07,0.07,0.14,0.57,0.05,0.13,0.5
1G,https_passthrough.bal,default,300,10240,1000,269359,0,0,1002.210916,1001,1227,1003,1003,1006,298.9466464,3037.639408,3044.3512,99.95,1020,17.842,,99.98,3925.5,,,99.27,2048,,,99.95,4096,15.35,,99.95,4096,15.3,,0.33,0.25,0.54,0,0,0,0,0,0,0.04,0.03,0.15,0.05,0.13,0.19
1G,https_passthrough.bal,default,300,102400,0,665738,9,0.0013518832,405.0920452,18,31705,736,958,1791.98,737.8078041,73986.07552,73915.95856,99.42,1020.5,17.019,,99.94,4093.5,,,99.66,2048,,,99.87,4096,13.45,,99.86,4096,13.5,,4.3,4.35,3.5,0.22,0.25,0.19,0,0,0,1.29,1.14,0.88,0.9,0.88,0.75
1G,https_passthrough.bal,default,300,102400,30,665854,3,0.0004505492,404.9982278,63,58548,720,932,1635.9,738.8231273,74088.35499,74018.34406,99.45,1020.5,16.768,,99.94,4094,,,99.7,2048,,,99.86,4096,13.6,,99.86,4096,13.35,,4.78,4.59,4.19,0.32,0.3,0.26,0,0,0,0.86,0.98,0.99,1.25,1.17,1.03
