concurrent_users,cores,workload_mix,tps,latency
1,4,1,1.4369,17.2104
5,4,1,6.7857,16.8422
10,4,1,13.9252,16.4005
15,4,1,21.3389,16.845
20,4,1,28.0266,16.5203
25,4,1,35.0216,17.0845
50,4,1,69.4967,17.28
75,4,1,103.9236,17.4693
100,4,1,138.7143,17.6552
125,4,1,174.1595,17.8087
150,4,1,208.6229,17.688
1,8,1,1.4419,18.3468
5,8,1,7.2857,16.9804
10,8,1,13.7724,16.6885
15,8,1,20.8605,16.4248
20,8,1,27.8821,16.2363
25,8,1,35.2924,16.3041
50,8,1,69.7791,16.1264
75,8,1,105.1213,16.304
100,8,1,139.3073,16.1582
125,8,1,173.7342,16.4131
150,8,1,209.4053,16.3349
1,8,2,1.3854,18.2029
5,8,2,6.6794,16.0553
10,8,2,14.0764,16.0728
15,8,2,20.9435,15.9546
20,8,2,27.8505,15.849
25,8,2,34.9219,16.0889
50,8,2,69.299,16.0293
75,8,2,104.4435,16.6085
100,8,2,138.6312,17.4402
125,8,2,173.1213,17.737
150,8,2,207.397,18.8085
1,4,2,1.3389,17.4302
5,4,2,7.1346,16.0514
10,4,2,13.9186,15.9993
15,4,2,20.5847,15.9855
20,4,2,27.9502,15.9243
25,4,2,34.8339,16.2312
50,4,2,69.9502,16.5097
75,4,2,104.6213,17.027
100,4,2,138.9801,17.924
1,8,3,1.3073,34.9194
5,8,3,6.9385,36.1007
10,8,3,13.4983,41.8435
15,8,3,20.0233,48.7251
20,8,3,25.9385,63.2697
25,8,3,31.3123,90.6615
1,4,3,1.3605,35.2283
5,4,3,6.6611,36.032
10,4,3,13.3654,41.4696
15,4,3,19.9734,52.2631
20,4,3,25.892,73.7316